,sents
259,"For they had had a long conversation in the morning, while Celia, who did not like the company of Mr. Casaubon’s moles and sallowness, had escaped to the vicarage to play with the curate’s ill-shod but merry children."
260,"Dorothea by this time had looked deep into the ungauged reservoir of Mr. Casaubon’s mind, seeing reflected there in vague labyrinthine extension every quality she herself brought; had opened much of her own experience to him, and had understood from him the scope of his great work, also of attractively labyrinthine extent."
261,"For he had been as instructive as Milton’s “affable archangel;” and with something of the archangelic manner he told her how he had undertaken to show (what indeed had been attempted before, but not with that thoroughness, justice of comparison, and effectiveness of arrangement at which Mr. Casaubon aimed) that all the mythical systems or erratic mythical fragments in the world were corruptions of a tradition originally revealed."
262,"Having once mastered the true position and taken a firm footing there, the vast field of mythical constructions became intelligible, nay, luminous with the reflected light of correspondences."
263,But to gather in this great harvest of truth was no light or speedy work.
264,"His notes already made a formidable range of volumes, but the crowning task would be to condense these voluminous still-accumulating results and bring them, like the earlier vintage of Hippocratic books, to fit a little shelf."
265,"In explaining this to Dorothea, Mr. Casaubon expressed himself nearly as he would have done to a fellow-student, for he had not two styles of talking at command: it is true that when he used a Greek or Latin phrase he always gave the English with scrupulous care, but he would probably have done this in any case."
266,"A learned provincial clergyman is accustomed to think of his acquaintances as of “lords, knyghtes, and other noble and worthi men, that conne Latyn but lytille.”  Dorothea was altogether captivated by the wide embrace of this conception."
267,"Here was something beyond the shallows of ladies’ school literature: here was a living Bossuet, whose work would reconcile complete knowledge with devoted piety; here was a modern Augustine who united the glories of doctor and saint."
268,"The sanctity seemed no less clearly marked than the learning, for when Dorothea was impelled to open her mind on certain themes which she could speak of to no one whom she had before seen at Tipton, especially on the secondary importance of ecclesiastical forms and articles of belief compared with that spiritual religion, that submergence of self in communion with Divine perfection which seemed to her to be expressed in the best Christian books of widely distant ages, she found in Mr. Casaubon a listener who understood her at once, who could assure her of his own agreement with that view when duly tempered with wise conformity, and could mention historical examples before unknown to her."
269,"“He thinks with me,” said Dorothea to herself, “or rather, he thinks a whole world of which my thought is but a poor twopenny mirror."
270,"And his feelings too, his whole experience—what a lake compared with my little pool!”  Miss Brooke argued from words and dispositions not less unhesitatingly than other young ladies of her age."
271,"Signs are small measurable things, but interpretations are illimitable, and in girls of sweet, ardent nature, every sign is apt to conjure up wonder, hope, belief, vast as a sky, and colored by a diffused thimbleful of matter in the shape of knowledge."
272,"They are not always too grossly deceived; for Sinbad himself may have fallen by good-luck on a true description, and wrong reasoning sometimes lands poor mortals in right conclusions: starting a long way off the true point, and proceeding by loops and zigzags, we now and then arrive just where we ought to be."
273,"Because Miss Brooke was hasty in her trust, it is not therefore clear that Mr. Casaubon was unworthy of it."
274,"He stayed a little longer than he had intended, on a slight pressure of invitation from Mr. Brooke, who offered no bait except his own documents on machine-breaking and rick-burning."
